_id,age,sex,email,w0,w1,w2,w3,w4
53,25,1,53,stir,rescue,verse,divide,table
54,38,2,54,scarf,plausible,order,calm,unfasten
55,21,4,55,stain,shirt,arrest,haunt,laugh
56,32,4,56,excuse,disagree,cause,relieved,damp
57,60,2,57,sore,abaft,jail,peck,healthy
58,48,0,58,finger,thrill,raspy,well-groomed,special
59,22,0,59,thundering,ablaze,prickly,capable,imagine
60,51,2,60,acrid,silky,arm,beam,hurry
61,46,0,61,shiny,engine,spotty,stingy,destruction
62,58,2,62,roasted,gratis,hunt,motion,coil
63,22,4,63,careful,last,lake,love,camera
64,46,4,64,reason,toy,soap,bright,distance
65,37,1,65,race,foregoing,shake,flowery,belligerent
66,39,0,66,loud,impolite,divergent,friction,hot
67,43,2,67,unused,want,plastic,famous,purring
68,34,2,68,crowded,satisfy,confuse,laborer,strange
69,57,1,69,toys,three,brawny,bikes,alarm
70,47,2,70,skate,bathe,ambiguous,story,inexpensive
71,39,3,71,greet,receipt,exciting,spot,agreeable
72,29,0,72,divide,box,bright,nation,loss
73,51,0,73,plug,chew,foot,baseball,muddled
74,60,1,74,breakable,use,trade,incredible,number
75,27,0,75,powder,glass,rinse,choke,government
76,45,1,76,tank,beautiful,motionless,dry,ten
77,23,3,77,feeling,consider,elastic,lie,floor
78,53,1,78,doubt,brake,warm,common,sudden
79,41,4,79,poor,flesh,guiltless,tidy,notice
80,45,1,80,sincere,tasty,horses,encouraging,form
81,25,0,81,meaty,hunt,new,twig,three
82,39,0,82,plough,immense,liquid,wry,downtown
83,43,3,83,smile,frequent,cross,grip,sip
84,44,2,84,direction,toes,dock,excuse,key
85,25,0,85,nebulous,mourn,rebel,realise,boot
86,51,0,86,week,houses,robust,zany,doll
87,34,0,87,amazing,eggs,alcoholic,glass,groovy
88,54,3,88,stamp,alleged,snore,wax,sheep
89,35,2,89,adjoining,sail,opposite,exuberant,bump
90,50,3,90,hurried,determined,need,expert,enchanted
91,30,2,91,tranquil,scintillating,red,FALSE,jumbled
92,44,4,92,stingy,four,malicious,subtract,bathe
93,36,0,93,rain,screw,sky,structure,aggressive
94,20,4,94,expect,fear,point,fair,scrape
95,52,3,95,cause,digestion,airplane,cuddly,woman
96,55,0,96,tree,jellyfish,travel,loving,plot
97,33,1,97,heal,potato,good,alive,descriptive
98,53,4,98,kick,sharp,scrawny,deer,aromatic
99,55,1,99,curve,untidy,tenuous,brown,spell
100,42,3,100,partner,suspect,erect,planes,hall
101,59,1,101,one,heartbreaking,ubiquitous,clear,voiceless
102,27,1,102,sack,trashy,deer,ice,special
103,47,0,103,form,cherries,curved,assorted,malicious
104,23,0,104,hook,bright,doll,chief,kaput
105,27,1,105,calculate,wriggle,idiotic,medical,majestic
106,36,0,106,tenuous,swanky,toys,houses,temporary
107,26,3,107,error,plastic,injure,twig,satisfying
108,25,4,108,examine,tease,voyage,group,vigorous
109,22,4,109,cent,discovery,army,teeth,huge
110,25,2,110,year,tall,slimy,pocket,skinny
111,52,0,111,finicky,impress,spill,measure,quaint
112,30,3,112,sweltering,kick,planes,detect,injure
113,30,1,113,noisy,relation,towering,alert,regret
114,41,2,114,middle,scared,gray,whistle,pollution
115,30,1,115,aquatic,relation,naive,ajar,guide
116,51,0,116,cat,cap,coil,pour,redundant
117,55,2,117,helpless,serious,tasteful,structure,frequent
118,30,1,118,ladybug,degree,dispensable,separate,reflective
119,25,2,119,laugh,skin,force,trail,alleged
120,28,3,120,stay,naive,need,obese,marked
121,44,1,121,scribble,teeth,popcorn,womanly,snatch
122,49,2,122,behavior,beg,barbarous,typical,jittery
123,39,4,123,signal,rifle,chase,nifty,power
124,25,0,124,fix,pointless,parched,class,like
125,36,0,125,cuddly,majestic,null,grate,queue
126,37,0,126,smoke,clip,bright,incandescent,cow
127,24,1,127,pause,barbarous,crabby,gamy,sparkle
128,20,0,128,zonked,hellish,vanish,adaptable,call
129,55,0,129,shrug,kick,roof,boring,lock
130,46,1,130,mint,soda,squealing,graceful,shade
131,32,0,131,gaping,corn,charming,tow,ill-informed
132,20,3,132,obeisant,drip,irritate,well-groomed,steam
133,42,0,133,hose,verdant,mute,reign,wander
134,25,3,134,bright,enchanting,gaze,rabbit,tense
135,60,1,135,bury,gamy,harsh,phone,knife
136,45,3,136,tacit,tow,married,kaput,double
137,52,1,137,enchanted,sheet,popcorn,language,driving
138,28,3,138,peck,happy,spiders,confess,join
139,50,1,139,plucky,loud,chief,raspy,imaginary
140,55,3,140,disapprove,moan,camp,name,sudden
141,31,3,141,funny,incandescent,elastic,laugh,hall
142,50,2,142,sassy,cold,welcome,savory,orange
143,40,2,143,spicy,cook,heal,silver,knock
144,31,4,144,voice,infamous,sulky,aboriginal,gifted
145,24,1,145,protective,order,late,house,rhythm
146,41,0,146,blade,jolly,bore,dislike,surround
147,42,4,147,rigid,umbrella,rock,horse,spiky
148,38,4,148,value,hook,steer,fold,lavish
149,32,1,149,produce,fluffy,float,angle,ubiquitous
150,53,4,150,wrathful,admire,tangy,settle,appliance
151,57,3,151,elegant,neck,meat,suffer,mindless
152,28,0,152,earsplitting,alert,teeny-tiny,smash,endurable
153,47,3,153,jump,property,thirsty,waste,dazzling
154,22,2,154,squirrel,misty,eggs,busy,mysterious
155,50,2,155,rejoice,jittery,square,dream,elegant
156,47,0,156,apologise,rock,utter,violet,blind
157,29,3,157,observation,order,demonic,watery,magenta
158,34,1,158,wasteful,battle,happen,warm,mouth
159,28,0,159,vivacious,eatable,flight,lonely,choke
160,26,2,160,ruddy,boat,simplistic,tax,lip
161,37,0,161,stuff,self,plain,drunk,historical
162,26,1,162,fuel,noise,quixotic,violet,thirsty
163,31,4,163,spicy,soap,class,taboo,snore
164,43,4,164,son,sheet,scattered,move,airplane
165,22,0,165,glamorous,noxious,story,slimy,strap
166,56,0,166,slip,crowded,minor,ski,homeless
167,34,1,167,bee,selective,religion,tan,abashed
168,56,3,168,vegetable,chase,correct,yellow,monkey
169,51,3,169,abhorrent,share,handle,rainy,hateful
170,32,1,170,makeshift,disagreeable,dark,afraid,government
171,31,1,171,meek,yarn,knowledge,hate,magenta
172,51,3,172,black,store,tired,song,literate
173,52,0,173,honorable,spotty,guiltless,ink,tremble
174,31,1,174,curious,hate,voyage,unfasten,kindly
175,28,1,175,alluring,form,loose,colorful,year
176,47,3,176,hot,cough,afternoon,stocking,toothpaste
177,35,2,177,vest,threatening,name,successful,laborer
178,56,1,178,support,thumb,warlike,worry,faded
179,38,3,179,ocean,smell,film,dream,growth
180,29,4,180,shave,noxious,cheerful,whistle,hot
181,55,3,181,continue,gusty,outrageous,sack,ossified
182,56,3,182,yummy,sack,angle,harsh,flimsy
183,45,0,183,wasteful,complete,badge,secret,raspy
184,27,3,184,hurry,instrument,measly,jump,abject
185,27,4,185,measure,kindly,paint,motionless,box
186,60,1,186,wink,fire,coherent,obedient,view
187,41,2,187,pizzas,business,name,coach,shirt
188,32,0,188,lighten,worthless,letters,penitent,aboard
189,30,0,189,weather,raise,female,dependent,remember
190,25,3,190,suit,unsightly,wrench,cake,grain
191,22,1,191,train,part,beam,dependent,extra-large
192,48,3,192,name,endurable,wren,payment,dust
193,43,2,193,pop,woebegone,thrill,knotty,sleet
194,24,2,194,wave,young,dapper,calculating,various
195,51,3,195,iron,ambiguous,successful,request,paint
196,60,1,196,jellyfish,helpless,bulb,straight,fire
197,27,3,197,dashing,fluffy,grin,truculent,tremendous
198,42,0,198,bent,befitting,dad,hope,corn
199,23,3,199,trip,digestion,lace,concerned,comparison
200,59,1,200,spark,misty,glove,substance,snobbish
201,48,3,201,depend,melodic,dinosaurs,throat,credit
202,36,4,202,judicious,periodic,foamy,alcoholic,loving
203,35,3,203,rail,planes,system,accept,needless
204,37,4,204,digestion,married,bells,tow,salty
205,21,1,205,matter,fluffy,pack,side,dashing
206,60,0,206,plan,decorous,present,poke,snake
207,38,0,207,guide,suit,fretful,risk,toothsome
208,39,3,208,camp,animated,pan,wooden,icy
209,32,1,209,gigantic,van,morning,crash,upset
210,57,4,210,memory,cakes,imminent,guide,edge
211,54,4,211,contain,parched,thank,separate,dusty
212,26,4,212,squalid,ancient,stamp,servant,ambitious
213,33,1,213,plausible,beneficial,halting,cooing,wash
214,60,0,214,baseball,ignore,concern,cars,fog
215,47,3,215,muscle,cattle,children,concerned,time
216,33,1,216,tasty,nervous,kneel,stomach,river
217,60,2,217,abrasive,rate,yielding,coal,youthful
218,25,4,218,suffer,bolt,cover,railway,undesirable
219,28,2,219,room,rabid,onerous,imminent,rhetorical
220,28,4,220,slow,sound,lavish,education,black
221,28,4,221,fluttering,quaint,popcorn,company,retire
222,54,2,222,delicious,whip,pet,teeny-tiny,pie
223,54,4,223,add,fold,substantial,view,linen
224,53,4,224,tested,history,selection,ambiguous,tour
225,43,1,225,fixed,rigid,thought,quick,chess
226,56,0,226,steam,prevent,fly,distance,lean
227,27,3,227,play,tense,scatter,grandiose,axiomatic
228,33,1,228,disapprove,treat,bruise,zinc,military
229,48,0,229,threatening,jobless,actually,flavor,succinct
230,51,0,230,please,pour,pie,boundary,bright
231,48,1,231,FALSE,hook,books,labored,late
232,20,3,232,obey,gabby,keen,imported,psychedelic
233,53,0,233,share,foolish,milky,damp,bells
234,40,3,234,wrong,rob,joyous,awake,gigantic
235,26,4,235,grate,protect,itchy,needless,crabby
236,52,1,236,bite,fairies,nebulous,unadvised,robust
237,34,0,237,massive,bomb,thirsty,morning,heat
238,28,0,238,discussion,bridge,cows,toe,magnificent
239,52,3,239,cover,wail,furniture,sable,frail
240,22,1,240,unite,girls,dreary,army,hesitant
241,35,4,241,team,knee,low,credit,plastic
242,25,3,242,stove,appliance,geese,square,ladybug
243,41,2,243,careless,vague,nostalgic,nutty,tasteless
244,20,2,244,hard-to-find,plot,chief,cut,grain
245,46,3,245,protect,like,top,governor,economic
246,29,3,246,cabbage,accessible,itch,accessible,neighborly
247,30,0,247,whip,determined,follow,argument,weigh
248,35,1,248,scandalous,gray,decision,teaching,passenger
249,40,3,249,wire,flesh,odd,ski,borrow
250,50,0,250,spy,needless,reproduce,cows,scale
251,50,0,251,hug,afford,capricious,apologise,enter
252,33,1,252,miscreant,black,tumble,correct,yell
253,36,3,253,kiss,effect,rat,education,move
254,54,2,254,sugar,absurd,accurate,decorous,luxuriant
255,26,1,255,compete,minor,tiresome,nappy,riddle
256,48,0,256,trouble,helpful,tank,wasteful,weary
257,46,0,257,boot,party,pie,pencil,coal
258,38,3,258,geese,screw,edge,treat,clever
259,37,4,259,absorbed,flawless,rapid,tin,wrap
260,28,2,260,fuzzy,load,number,stormy,wiry
261,49,4,261,command,ban,nutty,childlike,charge
262,36,0,262,electric,arrogant,third,hideous,tenuous
263,55,4,263,amusement,influence,mundane,occur,pet
264,43,4,264,woozy,roasted,shock,tray,cherries
265,58,3,265,neck,macabre,unarmed,plant,library
266,45,2,266,dead,leather,passenger,stingy,protect
267,50,1,267,six,squeal,chilly,memory,argue
268,57,0,268,letters,overrated,faulty,silent,homeless
269,35,4,269,opposite,majestic,brush,bounce,irritate
270,45,2,270,rhyme,pedal,sun,frightening,whisper
271,59,0,271,rob,tense,miscreant,bitter,rings
272,26,0,272,white,interfere,brave,collar,care
273,42,1,273,overt,smash,trite,adventurous,abashed
274,32,1,274,protect,envious,exchange,picture,terrify
275,38,2,275,stove,puzzled,applaud,ambitious,special
276,23,4,276,dizzy,trashy,abounding,scissors,develop
277,34,1,277,straw,straw,wing,green,milk
278,23,3,278,look,drink,girl,real,fire
279,45,4,279,arch,sock,righteous,jellyfish,smile
280,32,4,280,flagrant,fumbling,wave,iron,cheap
281,25,3,281,pleasant,bang,tax,luxuriant,film
282,39,2,282,rings,pick,sleepy,rub,spooky
283,30,3,283,ultra,store,accept,ruddy,squeeze
284,54,3,284,pet,deliver,fast,pretty,zinc
285,44,3,285,zoo,misty,nest,sour,wrist
286,51,4,286,pretend,productive,stitch,versed,tense
287,25,4,287,domineering,ignorant,ethereal,TRUE,physical
288,27,1,288,plastic,average,division,smile,peaceful
289,32,0,289,distinct,chubby,fact,comb,ghost
290,40,1,290,deranged,geese,army,lying,dramatic
291,51,4,291,mom,solid,passenger,car,valuable
292,53,4,292,knit,dislike,bump,null,weak
293,36,3,293,modern,discreet,design,various,nut
294,45,3,294,ultra,sun,abject,crawl,church
295,42,4,295,pat,frighten,homeless,look,arch
296,42,4,296,squalid,watch,desk,explode,desire
297,50,2,297,trap,abject,earthquake,snail,sweet
298,59,2,298,tank,fish,evasive,shut,milky
299,29,3,299,throat,soak,fierce,normal,meeting
300,40,3,300,minister,bite,shop,trail,phone
301,57,1,301,stimulating,spark,rural,important,trap
302,28,4,302,determined,ten,busy,hug,fit
303,50,4,303,mint,available,detect,enter,pin
304,47,4,304,debonair,load,pat,sweater,bedroom
305,23,1,305,yielding,tickle,giraffe,violet,omniscient
306,40,4,306,truthful,bake,north,seashore,thoughtless
307,51,0,307,nebulous,rain,match,time,accurate
308,55,2,308,keen,hard,shaggy,basketball,depressed
309,23,4,309,adorable,history,soda,tour,powerful
310,23,4,310,cabbage,ice,ring,inconclusive,applaud
311,57,4,311,boundless,succinct,volleyball,spy,excited
312,52,2,312,compete,fly,sloppy,kettle,rightful
313,29,2,313,glorious,thinkable,glove,toy,awake
314,57,4,314,file,limping,impossible,teeny,material
315,24,4,315,rot,halting,sordid,unwieldy,taboo
316,44,4,316,house,dry,ordinary,hospital,stick
317,60,2,317,fireman,broken,superficial,fire,guiltless
318,60,4,318,well-groomed,stranger,matter,redundant,flippant
319,57,0,319,oranges,cheer,alive,second,credit
320,49,4,320,fool,useless,huge,pump,star
321,35,4,321,caption,clear,hand,impolite,school
322,29,4,322,oafish,question,tent,plant,whistle
323,35,0,323,stain,increase,cream,acidic,needle
324,46,4,324,shop,auspicious,ignore,low,soft
325,46,3,325,itchy,slim,land,scorch,bait
326,44,2,326,stale,combative,property,filthy,ambiguous
327,25,1,327,huge,chop,pray,hobbies,welcome
328,24,3,328,page,pray,vessel,icicle,feeling
329,29,1,329,rapid,cheat,attract,bat,dysfunctional
330,21,0,330,numerous,lamentable,turkey,start,annoy
331,32,1,331,impolite,annoying,laugh,debt,evasive
332,55,4,332,flowery,space,mouth,thoughtful,repair
333,21,0,333,moor,trashy,wheel,anxious,driving
334,43,4,334,worried,delirious,splendid,wind,trade
335,30,4,335,deserve,print,frog,tie,thing
336,44,3,336,volatile,permissible,shallow,flowers,fierce
337,57,2,337,tooth,embarrass,impolite,license,bulb
338,59,4,338,scarf,stomach,beef,rice,responsible
339,56,4,339,noiseless,lavish,practise,hand,trite
340,55,0,340,drain,sedate,illegal,hungry,step
341,38,2,341,silver,dinner,dog,thank,observe
342,23,1,342,momentous,frame,rare,roomy,power
343,36,2,343,scream,earsplitting,jar,flow,naive
344,48,3,344,flawless,earthquake,obnoxious,barbarous,spill
345,42,1,345,board,value,moan,stretch,plan
346,41,4,346,wasteful,warn,spring,idiotic,space
347,20,1,347,adorable,ultra,wonder,public,beneficial
348,50,3,348,silver,prefer,psychotic,victorious,chalk
349,51,2,349,windy,used,mushy,vacation,scale
350,44,3,350,death,threatening,hanging,box,nutritious
351,34,1,351,pan,lush,second-hand,attack,position
352,29,4,352,boiling,toes,actually,violent,rat
353,30,0,353,breakable,dime,book,listen,bless
354,33,4,354,zephyr,dam,fade,object,welcome
355,38,3,355,throat,hilarious,oceanic,blow,courageous
356,55,3,356,unruly,eye,wire,lovely,sore
357,31,2,357,hydrant,redundant,money,saw,private
358,51,4,358,clam,smart,undress,cheat,secret
359,28,4,359,didactic,moldy,youthful,harm,preach
360,39,4,360,internal,move,lake,lying,shop
361,24,2,361,things,cub,agonizing,tow,tricky
362,59,1,362,meddle,entertaining,puny,wet,fool
363,58,1,363,wise,teaching,alike,house,bore
364,38,3,364,heal,marked,jail,abrupt,delightful
365,40,4,365,point,grin,turn,crush,perform
366,38,2,366,cheer,argument,third,partner,admire
367,43,0,367,calculate,sock,workable,lighten,discovery
368,57,3,368,face,year,famous,picayune,cup
369,55,4,369,snow,phobic,railway,prickly,hammer
370,28,2,370,soft,gifted,turn,water,dream
371,26,2,371,improve,boiling,six,laugh,enter
372,42,4,372,poke,erect,chase,super,compete
373,51,4,373,wave,loutish,fine,functional,bone
374,20,3,374,gifted,roll,lock,guitar,hose
375,31,0,375,dispensable,bore,smile,whimsical,plant
376,28,1,376,decorate,zesty,measly,sisters,verdant
377,60,2,377,dangerous,bouncy,massive,raspy,paddle
378,47,4,378,current,burly,vegetable,psychedelic,sloppy
379,58,4,379,hate,border,fail,fortunate,uttermost
380,24,4,380,grieving,peck,tick,fairies,dispensable
381,58,3,381,drag,classy,trucks,roof,command
382,37,1,382,cagey,crack,honorable,imminent,boat
383,41,3,383,steer,rigid,uppity,example,roll
384,28,3,384,knowledgeable,decay,hapless,groovy,glow
385,37,3,385,bed,teaching,point,fabulous,famous
386,55,1,386,natural,mellow,alive,cluttered,bird
387,33,0,387,old-fashioned,cruel,lace,inquisitive,aboriginal
388,39,3,388,mute,land,zoo,zephyr,terrific
389,37,4,389,painful,polite,vulgar,jail,squeamish
390,59,0,390,clammy,redundant,rotten,jail,notebook
391,49,2,391,invent,embarrassed,nine,tempt,fretful
392,55,2,392,stereotyped,psychedelic,plant,shy,march
393,29,0,393,toe,stretch,sore,wandering,confuse
394,33,4,394,breath,living,ill-informed,disagree,basin
395,35,2,395,sneeze,bare,wet,level,level
396,39,1,396,transport,tick,zippy,daughter,bore
397,24,3,397,contain,help,earsplitting,boorish,boy
398,34,2,398,shaky,instrument,earsplitting,analyse,reminiscent
399,54,1,399,fumbling,intelligent,profit,sense,cluttered
400,30,1,400,coal,perpetual,show,badge,jail
401,45,2,401,tin,aspiring,clean,pump,grip
402,45,1,402,wing,demonic,able,phone,unnatural
403,24,1,403,save,carriage,earth,orange,wild
404,49,4,404,equal,parched,quince,winter,settle
405,28,2,405,title,cook,trade,feeble,boundary
406,52,0,406,tendency,caption,recess,point,delicate
407,36,3,407,fry,march,overt,pickle,hateful
408,52,2,408,strange,water,improve,giddy,bucket
409,57,2,409,peck,level,intelligent,wriggle,future
410,30,3,410,sigh,regret,tray,cough,squeamish
411,28,2,411,colorful,stale,multiply,bubble,offer
412,29,0,412,arrive,thundering,teeny,murder,comfortable
413,32,0,413,head,grotesque,evasive,yell,beautiful
414,59,4,414,owe,guard,trouble,lick,parallel
415,20,1,415,talk,brown,squeeze,obsequious,vacuous
416,58,4,416,calculate,impossible,energetic,puzzling,chemical
417,51,3,417,dispensable,tense,receptive,adjoining,blushing
418,58,2,418,alcoholic,week,division,uninterested,messy
419,50,0,419,boundary,whimsical,communicate,ship,wide
420,23,3,420,texture,loss,remember,tidy,rest
421,30,2,421,raspy,agonizing,government,continue,route
422,28,0,422,half,claim,abrupt,bushes,unit
423,20,2,423,ugliest,party,raspy,wrap,concern
424,32,2,424,plausible,sun,long-term,control,kick
425,57,3,425,jewel,uneven,cow,marked,reproduce
426,44,1,426,fall,waves,suit,stormy,eatable
427,60,4,427,periodic,pretend,probable,limping,self
428,28,0,428,blow,gainful,appreciate,suck,poison
429,23,0,429,smash,talk,move,inject,berry
430,44,0,430,entertain,sink,coil,shiny,try
431,43,1,431,admit,chalk,horses,spotted,abject
432,34,3,432,teeny-tiny,grade,low,lowly,mice
433,57,2,433,wool,picayune,snails,plant,elite
434,57,0,434,cagey,amusing,spoon,horse,disgusting
435,59,0,435,dress,lie,fearful,pets,book
436,45,3,436,add,goofy,physical,lie,innate
437,55,2,437,perpetual,choke,drink,drum,tender
438,34,1,438,deep,smart,easy,humorous,halting
439,50,2,439,woebegone,communicate,untidy,handsomely,sore
440,43,4,440,dear,play,theory,bless,protest
441,59,3,441,trot,private,pump,furry,support
442,51,3,442,puzzling,laugh,thumb,buzz,disastrous
443,20,1,443,calm,puncture,playground,delicate,rebel
444,44,2,444,tiny,haunt,worry,economic,advertisement
445,26,0,445,extra-large,squash,head,overt,pour
446,55,3,446,follow,skirt,shoes,count,account
447,24,1,447,glove,jittery,powerful,settle,milky
448,55,4,448,motion,TRUE,truck,collect,scare
449,58,1,449,blink,country,check,ruthless,chew
450,36,4,450,room,point,wink,shock,reply
451,30,3,451,smelly,deceive,stop,walk,walk
452,24,1,452,comfortable,lonely,hunt,superb,fat
453,41,2,453,store,sun,colorful,striped,unequaled
454,60,4,454,chin,shade,psychotic,notice,penitent
455,39,4,455,wrench,son,massive,spurious,discover
456,57,1,456,thought,six,sofa,cover,uppity
457,22,1,457,cut,front,previous,elastic,hammer
458,27,2,458,plate,limit,land,file,debonair
459,22,2,459,finger,scatter,receptive,rambunctious,calculate
460,51,2,460,blade,push,keen,full,elastic
461,55,2,461,hungry,merciful,enter,cellar,cuddly
462,57,3,462,holiday,intend,kind,sleepy,assorted
463,41,0,463,squeeze,crooked,feigned,proud,tour
464,21,1,464,week,glossy,amusement,mend,highfalutin
465,38,3,465,lively,ink,overjoyed,deserve,play
466,43,2,466,uncle,sidewalk,grab,farm,sack
467,39,1,467,flavor,berry,alleged,wonder,earthy
468,30,3,468,brake,red,way,system,pat
469,26,2,469,spot,dead,deserted,scream,careless
470,28,3,470,hideous,cagey,belief,lake,daily
471,28,2,471,carry,phone,yummy,thankful,twist
472,43,2,472,oven,travel,bleach,door,hour
473,53,2,473,confuse,damaged,desert,parallel,route
474,26,3,474,hysterical,accurate,discreet,influence,tangy
475,33,0,475,found,insurance,deeply,succinct,trick
476,38,4,476,attach,stomach,advice,divergent,horn
477,28,2,477,scratch,educated,comb,ground,colossal
478,36,2,478,regret,irritate,sign,whine,hypnotic
479,43,2,479,precede,comb,income,mine,broken
480,53,2,480,questionable,untidy,acidic,groovy,crayon
481,49,0,481,witty,spot,amuck,invent,probable
482,38,3,482,long,pigs,acoustic,plastic,jelly
483,32,2,483,wish,permissible,seed,close,dolls
484,22,3,484,unkempt,spark,incompetent,choke,sprout
485,53,3,485,impress,small,opposite,limit,range
486,58,4,486,kaput,familiar,replace,exchange,feigned
487,50,1,487,overjoyed,rambunctious,spell,branch,numerous
488,44,1,488,sip,confuse,harbor,fierce,surround
489,33,4,489,include,friendly,shallow,communicate,organic
490,48,0,490,sink,pine,sneaky,subdued,devilish
491,48,4,491,include,habitual,earth,sound,secretary
492,60,4,492,public,appliance,work,piquant,fertile
493,23,4,493,satisfy,quiet,regular,decisive,peep
494,29,3,494,trucks,second-hand,hanging,stick,pretend
495,44,2,495,board,vigorous,hour,regular,silent
496,43,3,496,step,lavish,weary,merciful,dazzling
497,42,1,497,futuristic,sink,white,detect,relieved
498,35,1,498,land,examine,ticket,beginner,transport
499,56,2,499,invincible,plastic,land,tent,aftermath
500,45,3,500,sound,match,sack,lunchroom,shrill
501,30,1,501,drum,lush,trashy,scorch,damaged
502,43,4,502,spectacular,expand,animal,pickle,burn
503,45,2,503,condition,somber,cow,farm,force
504,25,0,504,jagged,placid,explode,friend,prose
505,31,0,505,corn,beam,historical,anxious,children
506,34,1,506,sleet,messy,fall,miniature,shocking
507,23,2,507,heavy,kettle,mammoth,rub,peep
508,37,2,508,wash,succinct,bit,doll,watch
509,57,2,509,yoke,detailed,exciting,announce,tree
510,56,1,510,seed,macabre,like,desire,exist
511,35,3,511,coil,ban,macho,busy,trick
512,41,1,512,twist,hungry,easy,wiry,modern
513,39,3,513,stain,chance,oafish,handsome,diligent
514,27,3,514,brawny,preach,knot,ocean,flood
515,57,2,515,venomous,refuse,ad hoc,flash,pot
516,43,3,516,curious,crowd,risk,observation,nondescript
517,47,4,517,spring,tearful,heavy,fumbling,sense
518,23,2,518,hurried,fretful,trouble,punch,lewd
519,53,4,519,stew,ice,hissing,unfasten,glove
520,39,4,520,soft,highfalutin,stay,premium,thank
521,30,2,521,motionless,versed,bump,sour,exercise
522,52,0,522,thaw,animated,improve,day,amount
523,47,3,523,madly,desert,buzz,repulsive,trail
524,37,2,524,stir,launch,launch,drag,flight
525,35,1,525,spring,minor,water,bruise,achiever
526,54,2,526,violent,cheer,treat,sophisticated,mother
527,41,4,527,gold,able,hurt,face,squirrel
528,58,3,528,melt,elfin,march,kindhearted,time
529,42,1,529,admit,neighborly,wonderful,health,object
530,32,4,530,care,exchange,trick,educate,discovery
531,41,2,531,towering,elderly,high,end,lettuce
532,53,1,532,board,paper,enter,oceanic,serve
533,53,1,533,duck,acoustics,afterthought,lake,nest
534,25,0,534,important,tin,small,untidy,war
535,35,3,535,mushy,experience,ground,anger,tooth
536,35,1,536,voiceless,cherry,defeated,selection,repair
537,51,0,537,rock,scold,crime,fair,hands
538,45,1,538,last,earth,mom,butter,smash
539,58,4,539,friend,hate,clammy,connect,vulgar
540,38,0,540,ship,suppose,lettuce,vacuous,friends
541,59,3,541,adaptable,enormous,note,responsible,conscious
542,43,3,542,staking,trace,reign,bat,dangerous
543,56,0,543,fix,cemetery,mammoth,tall,shade
544,24,0,544,behave,education,rush,digestion,pipe
545,49,2,545,even,abounding,bulb,anxious,bridge
546,20,0,546,hammer,curl,compare,purpose,ice
547,30,3,547,jewel,incandescent,squash,request,miss
